プライマリーキー,JIS漢字水準,JLPT,人名用漢字,国字,学年,常用漢字,漢検配当級,画数,部首別
亜,JIS第１水準,N１,,,中学校一～三年生,然り,準２級,7,二 に
哀,JIS第１水準,N１,,,中学校一～三年生,然り,３級,9,口 くち・くちへん
愛,JIS第１水準,N３,,,小学校四年生,然り,７級,13,心 忄 こころ・したごころ・りっしんべん
挨,JIS第１水準,,,,中学校一～三年生,然り,２級,10,手 扌 て・てへん
悪,JIS第１水準,N４,,,小学校三年生,然り,８級,11,心 忄 こころ・したごころ・りっしんべん
握,JIS第１水準,N１,,,中学校一～三年生,然り,４級,12,手 扌 て・てへん
圧,JIS第１水準,N２,,,小学校五年生,然り,６級,5,土 つち・つちへん・どへん
扱,JIS第１水準,N１,,,中学校一～三年生,然り,４級,6,手 扌 て・てへん
宛,JIS第１水準,,,,中学校一～三年生,然り,２級,8,宀 うかんむり
安,JIS第１水準,N４,,,小学校三年生,然り,８級,6,宀 うかんむり
暗,JIS第１水準,N３,,,小学校三年生,然り,８級,13,日 ひ・ひへん・にち・にちへん
案,JIS第１水準,N１,,,小学校四年生,然り,７級,10,木 き・きへん
闇,JIS第１水準,,,,中学校一～三年生,然り,２級,17,門 门 もん・もんがまえ・かどがまえ
以,JIS第１水準,N４,,,小学校四年生,然り,７級,5,人 亻 ひと・にんべん・ひとがしら・ひとやね
位,JIS第１水準,N３,,,小学校四年生,然り,７級,7,人 亻 ひと・にんべん・ひとがしら・ひとやね
依,JIS第１水準,N２,,,中学校一～三年生,然り,４級,8,人 亻 ひと・にんべん・ひとがしら・ひとやね
偉,JIS第１水準,N３,,,中学校一～三年生,然り,４級,12,人 亻 ひと・にんべん・ひとがしら・ひとやね
囲,JIS第１水準,N２,,,小学校五年生,然り,６級,7,囗 くにがまえ
委,JIS第１水準,N２,,,小学校三年生,然り,８級,8,女 おんな・おんなへん
威,JIS第１水準,N１,,,中学校一～三年生,然り,４級,9,女 おんな・おんなへん
尉,JIS第１水準,N１,,,中学校一～三年生,然り,準２級,11,寸 すん・すんづくり
意,JIS第１水準,N４,,,小学校三年生,然り,８級,13,心 忄 こころ・したごころ・りっしんべん
慰,JIS第１水準,N１,,,中学校一～三年生,然り,３級,15,心 忄 こころ・したごころ・りっしんべん
易,JIS第１水準,N３,,,小学校五年生,然り,６級,8,日 ひ・ひへん・にち・にちへん
椅,JIS第１水準,,,,中学校一～三年生,然り,２級,12,木 き・きへん
為,JIS第１水準,N１,,,中学校一～三年生,然り,４級,9,火 灬 ひ・ひへん・れっか・れんが
畏,JIS第１水準,,,,中学校一～三年生,然り,２級,9,田 た・たへん
異,JIS第１水準,N１,,,小学校六年生,然り,５級,11,田 た・たへん
移,JIS第１水準,N２,,,小学校五年生,然り,６級,11,禾 のぎ・のぎへん
維,JIS第１水準,N１,,,中学校一～三年生,然り,４級,14,糸 糹 纟 いと・いとへん
緯,JIS第１水準,N１,,,中学校一～三年生,然り,４級,16,糸 糹 纟 いと・いとへん
胃,JIS第１水準,N２,,,小学校六年生,然り,５級,9,肉 月 ⺼ にく・にくづき
萎,JIS第１水準,,,,中学校一～三年生,然り,２級,11,艸 艹 くさ・くさかんむり・そうこう
衣,JIS第１水準,N２,,,小学校四年生,然り,７級,6,衣 衤 ころも・ころもへん
違,JIS第１水準,N３,,,中学校一～三年生,然り,４級,13,辵 辶 しんにょう・しんにゅう
遺,JIS第１水準,N１,,,小学校六年生,然り,５級,15,辵 辶 しんにょう・しんにゅう
医,JIS第１水準,N４,,,小学校三年生,然り,８級,7,匸 かくしがまえ
井,JIS第１水準,N１,,,小学校四年生,然り,７級,4,二 に
域,JIS第１水準,N２,,,小学校六年生,然り,５級,11,土 つち・つちへん・どへん
育,JIS第１水準,N３,,,小学校三年生,然り,８級,8,肉 月 ⺼ にく・にくづき
一,JIS第１水準,N５,,,小学校一年生,然り,１０級,1,一 いち
壱,JIS第１水準,N１,,,中学校一～三年生,然り,４級,7,士 さむらい
逸,JIS第１水準,N１,,,中学校一～三年生,然り,準２級,11,辵 辶 しんにょう・しんにゅう
稲,JIS第１水準,N１,,,中学校一～三年生,然り,４級,14,禾 のぎ・のぎへん
茨,JIS第１水準,,,,小学校四年生,然り,７級,9,艸 艹 くさ・くさかんむり・そうこう
芋,JIS第１水準,N１,,,中学校一～三年生,然り,４級,6,艸 艹 くさ・くさかんむり・そうこう
印,JIS第１水準,N２,,,小学校四年生,然り,７級,6,卩 㔾 ふしづくり・わりふ
咽,JIS第１水準,,,,中学校一～三年生,然り,２級,9,口 くち・くちへん
員,JIS第１水準,N４,,,小学校三年生,然り,８級,10,口 くち・くちへん
因,JIS第１水準,N３,,,小学校五年生,然り,６級,6,囗 くにがまえ
姻,JIS第１水準,N１,,,中学校一～三年生,然り,準２級,9,女 おんな・おんなへん
引,JIS第１水準,N３,,,小学校二年生,然り,９級,4,弓 ゆみ・ゆみへん
飲,JIS第１水準,N４,,,小学校三年生,然り,８級,12,食 飠 饣 しょく・しょくへん
淫,JIS第１水準,,,,中学校一～三年生,然り,２級,11,水 氵 氺 みず・さんずい・したみず
院,JIS第１水準,N４,,,小学校三年生,然り,８級,10,阜 阝 こざと・こざとへん・おか
陰,JIS第１水準,N１,,,中学校一～三年生,然り,４級,11,阜 阝 こざと・こざとへん・おか
隠,JIS第１水準,N１,,,中学校一～三年生,然り,４級,14,阜 阝 こざと・こざとへん・おか
韻,JIS第１水準,N１,,,中学校一～三年生,然り,準２級,19,音 おと・おとへん
右,JIS第１水準,N５,,,小学校一年生,然り,１０級,5,口 くち・くちへん
宇,JIS第１水準,N２,,,小学校六年生,然り,５級,6,宀 うかんむり
羽,JIS第１水準,N２,,,小学校二年生,然り,９級,6,羽 はね
雨,JIS第１水準,N５,,,小学校一年生,然り,１０級,8,雨 あめ・あめかんむり・あまかんむり
臼,JIS第１水準,,,,中学校一～三年生,然り,２級,6,臼 うす
渦,JIS第１水準,N１,,,中学校一～三年生,然り,準２級,12,水 氵 氺 みず・さんずい・したみず
唄,JIS第１水準,N１,,,中学校一～三年生,然り,２級,10,口 くち・くちへん
浦,JIS第１水準,N１,,,中学校一～三年生,然り,準２級,10,水 氵 氺 みず・さんずい・したみず
運,JIS第１水準,N４,,,小学校三年生,然り,８級,12,辵 辶 しんにょう・しんにゅう
雲,JIS第１水準,N２,,,小学校二年生,然り,９級,12,雨 あめ・あめかんむり・あまかんむり
餌,JIS第１水準,,,,中学校一～三年生,然り,２級,15,食 飠 饣 しょく・しょくへん
営,JIS第１水準,N２,,,小学校五年生,然り,６級,12,⺍ つ・つかんむり
影,JIS第１水準,N１,,,中学校一～三年生,然り,４級,15,彡 さんづくり
映,JIS第１水準,N４,,,小学校六年生,然り,５級,9,日 ひ・ひへん・にち・にちへん
栄,JIS第１水準,N２,,,小学校四年生,然り,７級,9,木 き・きへん
永,JIS第１水準,N２,,,小学校五年生,然り,６級,5,水 氵 氺 みず・さんずい・したみず
泳,JIS第１水準,N３,,,小学校三年生,然り,８級,8,水 氵 氺 みず・さんずい・したみず
英,JIS第１水準,N４,,,小学校四年生,然り,７級,8,艸 艹 くさ・くさかんむり・そうこう
衛,JIS第１水準,N１,,,小学校五年生,然り,６級,16,行 ぎょう・ぎょうがまえ・ゆきがまえ
詠,JIS第１水準,N１,,,中学校一～三年生,然り,３級,12,言 訁 讠 げん・ごんべん・ことば
鋭,JIS第１水準,N２,,,中学校一～三年生,然り,４級,15,金 釒 钅 かね・かねへん
液,JIS第１水準,N２,,,小学校五年生,然り,６級,11,水 氵 氺 みず・さんずい・したみず
疫,JIS第１水準,N１,,,中学校一～三年生,然り,準２級,9,疒 やまいだれ
益,JIS第１水準,N１,,,小学校五年生,然り,６級,10,皿 さら
駅,JIS第１水準,N４,,,小学校三年生,然り,８級,14,馬 马 うま・うまへん
悦,JIS第１水準,N１,,,中学校一～三年生,然り,３級,10,心 忄 こころ・したごころ・りっしんべん
謁,JIS第１水準,N１,,,中学校一～三年生,然り,準２級,15,言 訁 讠 げん・ごんべん・ことば
越,JIS第１水準,N３,,,中学校一～三年生,然り,４級,12,走 はしる・そうにょう
閲,JIS第１水準,N１,,,中学校一～三年生,然り,３級,15,門 门 もん・もんがまえ・かどがまえ
円,JIS第１水準,N５,,,小学校一年生,然り,１０級,4,冂 けいがまえ・まきがまえ・えんがまえ・どうがまえ
園,JIS第１水準,N３,,,小学校二年生,然り,９級,13,囗 くにがまえ
宴,JIS第１水準,N１,,,中学校一～三年生,然り,３級,10,宀 うかんむり
延,JIS第１水準,N２,,,小学校六年生,然り,５級,8,廴 えんにょう・いんにょう
怨,JIS第１水準,,,,中学校一～三年生,然り,２級,9,心 忄 こころ・したごころ・りっしんべん
援,JIS第１水準,N１,,,中学校一～三年生,然り,４級,12,手 扌 て・てへん
沿,JIS第１水準,N１,,,小学校六年生,然り,５級,8,水 氵 氺 みず・さんずい・したみず
演,JIS第１水準,N３,,,小学校五年生,然り,６級,14,水 氵 氺 みず・さんずい・したみず
炎,JIS第１水準,N１,,,中学校一～三年生,然り,３級,8,火 灬 ひ・ひへん・れっか・れんが
煙,JIS第１水準,N３,,,中学校一～三年生,然り,４級,13,火 灬 ひ・ひへん・れっか・れんが
猿,JIS第１水準,N１,,,中学校一～三年生,然り,準２級,13,犬 犭 いぬ・けものへん
縁,JIS第１水準,N１,,,中学校一～三年生,然り,４級,15,糸 糹 纟 いと・いとへん
艶,JIS第１水準,N１,,,中学校一～三年生,然り,２級,19,色 いろ
遠,JIS第１水準,N３,,,小学校二年生,然り,９級,13,辵 辶 しんにょう・しんにゅう
鉛,JIS第１水準,N１,,,中学校一～三年生,然り,４級,13,金 釒 钅 かね・かねへん
塩,JIS第１水準,N２,,,小学校四年生,然り,７級,13,土 つち・つちへん・どへん
汚,JIS第１水準,N２,,,中学校一～三年生,然り,４級,6,水 氵 氺 みず・さんずい・したみず
凹,JIS第１水準,N１,,,中学校一～三年生,然り,準２級,5,凵 かんにょう・うけばこ・かんがまえ
央,JIS第１水準,N２,,,小学校三年生,然り,８級,5,大 だい
奥,JIS第１水準,N２,,,中学校一～三年生,然り,４級,12,大 だい
往,JIS第１水準,N１,,,小学校五年生,然り,６級,8,彳 ぎょうにんべん
応,JIS第１水準,N１,,,小学校五年生,然り,６級,7,心 忄 こころ・したごころ・りっしんべん
押,JIS第１水準,N３,,,中学校一～三年生,然り,４級,8,手 扌 て・てへん
旺,JIS第１水準,N１,,,中学校一～三年生,然り,２級,8,日 ひ・ひへん・にち・にちへん
横,JIS第１水準,N３,,,小学校三年生,然り,８級,15,木 き・きへん
欧,JIS第１水準,N２,,,中学校一～三年生,然り,３級,8,欠 あくび・かける・けんづくり
殴,JIS第１水準,N１,,,中学校一～三年生,然り,３級,8,殳 ほこづくり・るまた
王,JIS第１水準,N３,,,小学校一年生,然り,１０級,4,玉 王 たま・たまへん・おう・おうへん
翁,JIS第１水準,N１,,,中学校一～三年生,然り,準２級,10,羽 はね
黄,JIS第１水準,N２,,,小学校二年生,然り,９級,11,黄 黃 き・きいろ
岡,JIS第１水準,N１,,,小学校四年生,然り,７級,8,山 やま・やまへん・やまかんむり
沖,JIS第１水準,N１,,,小学校四年生,然り,７級,7,水 氵 氺 みず・さんずい・したみず
億,JIS第１水準,N２,,,小学校四年生,然り,７級,15,人 亻 ひと・にんべん・ひとがしら・ひとやね
屋,JIS第１水準,N４,,,小学校三年生,然り,８級,9,尸 しかばね・かばね・しかばねだれ・しかばねかんむり・かばねだれ
憶,JIS第１水準,N１,,,中学校一～三年生,然り,４級,16,心 忄 こころ・したごころ・りっしんべん
臆,JIS第１水準,,,,中学校一～三年生,然り,２級,17,肉 月 ⺼ にく・にくづき
乙,JIS第１水準,N１,,,中学校一～三年生,然り,３級,1,乙 乚 おつ・おつにょう・つりばり
俺,JIS第１水準,,,,中学校一～三年生,然り,２級,10,人 亻 ひと・にんべん・ひとがしら・ひとやね
卸,JIS第１水準,N１,,,中学校一～三年生,然り,３級,9,卩 㔾 ふしづくり・わりふ
恩,JIS第１水準,N１,,,小学校六年生,然り,５級,10,心 忄 こころ・したごころ・りっしんべん
温,JIS第１水準,N２,,,小学校三年生,然り,８級,12,水 氵 氺 みず・さんずい・したみず
穏,JIS第１水準,N１,,,中学校一～三年生,然り,３級,16,禾 のぎ・のぎへん
音,JIS第１水準,N４,,,小学校一年生,然り,１０級,9,音 おと・おとへん
下,JIS第１水準,N５,,,小学校一年生,然り,１０級,3,一 いち
化,JIS第１水準,N３,,,小学校三年生,然り,８級,4,匕 ひ・さじ・さじのひ
仮,JIS第１水準,N１,,,小学校五年生,然り,６級,6,人 亻 ひと・にんべん・ひとがしら・ひとやね
何,JIS第１水準,N５,,,小学校二年生,然り,９級,7,人 亻 ひと・にんべん・ひとがしら・ひとやね
価,JIS第１水準,N１,,,小学校五年生,然り,６級,8,人 亻 ひと・にんべん・ひとがしら・ひとやね
佳,JIS第１水準,N１,,,中学校一～三年生,然り,３級,8,人 亻 ひと・にんべん・ひとがしら・ひとやね
加,JIS第１水準,N３,,,小学校四年生,然り,７級,5,力 ちから
可,JIS第１水準,N３,,,小学校五年生,然り,６級,5,口 くち・くちへん
夏,JIS第１水準,N４,,,小学校二年生,然り,９級,10,夂 夊 ふゆがしら・ち・すいにょう・なつあし
嫁,JIS第１水準,N１,,,中学校一～三年生,然り,３級,13,女 おんな・おんなへん
家,JIS第１水準,N４,,,小学校二年生,然り,９級,10,宀 うかんむり
寡,JIS第１水準,N１,,,中学校一～三年生,然り,準２級,14,宀 うかんむり
科,JIS第１水準,N３,,,小学校二年生,然り,９級,9,禾 のぎ・のぎへん
暇,JIS第１水準,N１,,,中学校一～三年生,然り,４級,13,日 ひ・ひへん・にち・にちへん
果,JIS第１水準,N３,,,小学校四年生,然り,７級,8,木 き・きへん
架,JIS第１水準,N１,,,中学校一～三年生,然り,３級,9,木 き・きへん
歌,JIS第１水準,N４,,,小学校二年生,然り,９級,14,欠 あくび・かける・けんづくり
河,JIS第１水準,N２,,,小学校五年生,然り,６級,8,水 氵 氺 みず・さんずい・したみず
火,JIS第１水準,N５,,,小学校一年生,然り,１０級,4,火 灬 ひ・ひへん・れっか・れんが
禍,JIS第１水準,N１,,,中学校一～三年生,然り,準２級,13,示 礻 しめす・しめすへん・ねへん
稼,JIS第１水準,N１,,,中学校一～三年生,然り,準２級,15,禾 のぎ・のぎへん
箇,JIS第１水準,N１,,,中学校一～三年生,然り,４級,14,竹 たけ・たけかんむり
花,JIS第１水準,N４,,,小学校一年生,然り,１０級,7,艸 艹 くさ・くさかんむり・そうこう
苛,JIS第１水準,,,,中学校一～三年生,然り,２級,8,艸 艹 くさ・くさかんむり・そうこう
荷,JIS第１水準,N２,,,小学校三年生,然り,８級,10,艸 艹 くさ・くさかんむり・そうこう
華,JIS第１水準,N１,,,中学校一～三年生,然り,３級,10,艸 艹 くさ・くさかんむり・そうこう
菓,JIS第１水準,N２,,,中学校一～三年生,然り,４級,11,艸 艹 くさ・くさかんむり・そうこう
課,JIS第１水準,N２,,,小学校四年生,然り,７級,15,言 訁 讠 げん・ごんべん・ことば
貨,JIS第１水準,N２,,,小学校四年生,然り,７級,11,貝 贝 かい・かいへん・こがい
過,JIS第１水準,N３,,,小学校五年生,然り,６級,12,辵 辶 しんにょう・しんにゅう
蚊,JIS第１水準,N１,,,中学校一～三年生,然り,準２級,10,虫 むし・むしへん
我,JIS第１水準,N１,,,小学校六年生,然り,５級,7,戈 ほこづくり・ほこがまえ・ほこ・かのほこ
牙,JIS第１水準,,,,中学校一～三年生,然り,２級,4,牙 きば・きばへん
画,JIS第１水準,N４,,,小学校二年生,然り,９級,8,田 た・たへん
芽,JIS第１水準,N１,,,小学校四年生,然り,７級,8,艸 艹 くさ・くさかんむり・そうこう
賀,JIS第１水準,N１,,,小学校四年生,然り,７級,12,貝 贝 かい・かいへん・こがい
雅,JIS第１水準,N１,,,中学校一～三年生,然り,４級,13,隹 ふるとり
餓,JIS第１水準,N１,,,中学校一～三年生,然り,３級,15,食 飠 饣 しょく・しょくへん
介,JIS第１水準,N２,,,中学校一～三年生,然り,４級,4,人 亻 ひと・にんべん・ひとがしら・ひとやね
会,JIS第１水準,N４,,,小学校二年生,然り,９級,6,人 亻 ひと・にんべん・ひとがしら・ひとやね
解,JIS第１水準,N３,,,小学校五年生,然り,６級,13,角 つの・つのへん・かく・かくへん
回,JIS第１水準,N３,,,小学校二年生,然り,９級,6,囗 くにがまえ
塊,JIS第１水準,N１,,,中学校一～三年生,然り,３級,13,土 つち・つちへん・どへん
壊,JIS第１水準,N１,,,中学校一～三年生,然り,４級,16,土 つち・つちへん・どへん
快,JIS第１水準,N２,,,小学校五年生,然り,６級,7,心 忄 こころ・したごころ・りっしんべん
怪,JIS第１水準,N１,,,中学校一～三年生,然り,３級,8,心 忄 こころ・したごころ・りっしんべん
悔,JIS第１水準,N１,,,中学校一～三年生,然り,３級,9,心 忄 こころ・したごころ・りっしんべん
懐,JIS第１水準,N１,,,中学校一～三年生,然り,準２級,16,心 忄 こころ・したごころ・りっしんべん
戒,JIS第１水準,N１,,,中学校一～三年生,然り,４級,7,戈 ほこづくり・ほこがまえ・ほこ・かのほこ
拐,JIS第１水準,N１,,,中学校一～三年生,然り,準２級,8,手 扌 て・てへん
改,JIS第１水準,N２,,,小学校四年生,然り,７級,7,攴 攵 ぼくにょう・ぼくづくり・とまた・のぶん
械,JIS第１水準,N２,,,小学校四年生,然り,７級,11,木 き・きへん
海,JIS第１水準,N４,,,小学校二年生,然り,９級,9,水 氵 氺 みず・さんずい・したみず
灰,JIS第１水準,N２,,,小学校六年生,然り,５級,6,火 灬 ひ・ひへん・れっか・れんが
界,JIS第１水準,N４,,,小学校三年生,然り,８級,9,田 た・たへん
皆,JIS第１水準,N３,,,中学校一～三年生,然り,４級,9,白 しろ・しろへん
絵,JIS第１水準,N３,,,小学校二年生,然り,９級,12,糸 糹 纟 いと・いとへん
開,JIS第１水準,N４,,,小学校三年生,然り,８級,12,門 门 もん・もんがまえ・かどがまえ
階,JIS第１水準,N２,,,小学校三年生,然り,８級,12,阜 阝 こざと・こざとへん・おか
貝,JIS第１水準,N２,,,小学校一年生,然り,１０級,7,貝 贝 かい・かいへん・こがい
劾,JIS第１水準,N１,,,中学校一～三年生,然り,準２級,8,力 ちから
外,JIS第１水準,N５,,,小学校二年生,然り,９級,5,夕 ゆうべ・ゆう・た
害,JIS第１水準,N３,,,小学校四年生,然り,７級,10,宀 うかんむり
崖,JIS第１水準,,,,中学校一～三年生,然り,２級,11,山 やま・やまへん・やまかんむり
慨,JIS第１水準,N１,,,中学校一～三年生,然り,３級,13,心 忄 こころ・したごころ・りっしんべん
概,JIS第１水準,N１,,,中学校一～三年生,然り,３級,14,木 き・きへん
涯,JIS第１水準,N１,,,中学校一～三年生,然り,準２級,11,水 氵 氺 みず・さんずい・したみず
蓋,JIS第１水準,,,,中学校一～三年生,然り,２級,13,艸 艹 くさ・くさかんむり・そうこう
街,JIS第１水準,N１,,,小学校四年生,然り,７級,12,行 ぎょう・ぎょうがまえ・ゆきがまえ
該,JIS第１水準,N１,,,中学校一～三年生,然り,３級,13,言 訁 讠 げん・ごんべん・ことば
骸,JIS第１水準,,,,中学校一～三年生,然り,２級,16,骨 ほね・ほねへん
垣,JIS第１水準,N１,,,中学校一～三年生,然り,準２級,9,土 つち・つちへん・どへん
柿,JIS第１水準,,,,中学校一～三年生,然り,２級,9,木 き・きへん
嚇,JIS第１水準,N１,,,中学校一～三年生,然り,準２級,17,口 くち・くちへん
各,JIS第１水準,N２,,,小学校四年生,然り,７級,6,口 くち・くちへん
拡,JIS第１水準,N１,,,小学校六年生,然り,５級,8,手 扌 て・てへん
格,JIS第１水準,N３,,,小学校五年生,然り,６級,10,木 き・きへん
核,JIS第１水準,N１,,,中学校一～三年生,然り,準２級,10,木 き・きへん
殻,JIS第１水準,N１,,,中学校一～三年生,然り,準２級,11,殳 ほこづくり・るまた
獲,JIS第１水準,N１,,,中学校一～三年生,然り,４級,16,犬 犭 いぬ・けものへん
確,JIS第１水準,N３,,,小学校五年生,然り,６級,15,石 いし・いしへん
穫,JIS第１水準,N１,,,中学校一～三年生,然り,３級,18,禾 のぎ・のぎへん
覚,JIS第１水準,N３,,,小学校四年生,然り,７級,12,見 见 みる
角,JIS第１水準,N２,,,小学校二年生,然り,９級,7,角 つの・つのへん・かく・かくへん
較,JIS第１水準,N１,,,中学校一～三年生,然り,４級,13,車 车 くるま・くるまへん
郭,JIS第１水準,N１,,,中学校一～三年生,然り,３級,11,邑 阝 おおざと・むら
閣,JIS第１水準,N１,,,小学校六年生,然り,５級,14,門 门 もん・もんがまえ・かどがまえ
隔,JIS第１水準,N１,,,中学校一～三年生,然り,３級,13,阜 阝 こざと・こざとへん・おか
革,JIS第１水準,N２,,,小学校六年生,然り,５級,9,革 かわへん・かくのかわ・つくりがわ
学,JIS第１水準,N５,,,小学校一年生,然り,１０級,8,子 こ・こへん・こども・こどもへん
岳,JIS第１水準,N１,,,中学校一～三年生,然り,３級,8,山 やま・やまへん・やまかんむり
楽,JIS第１水準,N４,,,小学校二年生,然り,９級,13,木 き・きへん
額,JIS第１水準,N２,,,小学校五年生,然り,６級,18,頁 页 おおがい・いちのかい
顎,JIS第１水準,,,,中学校一～三年生,然り,２級,18,頁 页 おおがい・いちのかい
掛,JIS第１水準,N３,,,中学校一～三年生,然り,３級,11,手 扌 て・てへん
潟,JIS第１水準,N１,,,小学校四年生,然り,７級,15,水 氵 氺 みず・さんずい・したみず
割,JIS第１水準,N３,,,小学校六年生,然り,５級,12,刀 刂 かたな・りっとう
喝,JIS第１水準,N１,,,中学校一～三年生,然り,準２級,12,口 くち・くちへん
括,JIS第１水準,N１,,,中学校一～三年生,然り,準２級,9,手 扌 て・てへん
活,JIS第１水準,N３,,,小学校二年生,然り,９級,9,水 氵 氺 みず・さんずい・したみず
渇,JIS第１水準,N１,,,中学校一～三年生,然り,準２級,11,水 氵 氺 みず・さんずい・したみず
滑,JIS第１水準,N１,,,中学校一～三年生,然り,３級,13,水 氵 氺 みず・さんずい・したみず
葛,JIS第１水準,,,,中学校一～三年生,然り,２級,12,艸 艹 くさ・くさかんむり・そうこう
褐,JIS第１水準,N１,,,中学校一～三年生,然り,準２級,13,衣 衤 ころも・ころもへん
轄,JIS第１水準,N１,,,中学校一～三年生,然り,準２級,17,車 车 くるま・くるまへん
且,JIS第１水準,N１,,,中学校一～三年生,然り,準２級,5,一 いち
株,JIS第１水準,N１,,,小学校六年生,然り,５級,10,木 き・きへん
釜,JIS第１水準,,,,中学校一～三年生,然り,２級,10,金 釒 钅 かね・かねへん
鎌,JIS第１水準,N１,,,中学校一～三年生,然り,２級,18,金 釒 钅 かね・かねへん
刈,JIS第１水準,N１,,,中学校一～三年生,然り,４級,4,刀 刂 かたな・りっとう
瓦,JIS第１水準,,,,中学校一～三年生,然り,２級,5,瓦 かわら
乾,JIS第１水準,N２,,,中学校一～三年生,然り,４級,11,乙 乚 おつ・おつにょう・つりばり
冠,JIS第１水準,N１,,,中学校一～三年生,然り,３級,9,冖 わかんむり・ひらかんむり・べきかんむり
寒,JIS第１水準,N３,,,小学校三年生,然り,８級,12,宀 うかんむり
刊,JIS第１水準,N２,,,小学校五年生,然り,６級,5,刀 刂 かたな・りっとう
勘,JIS第１水準,N１,,,中学校一～三年生,然り,３級,11,力 ちから
勧,JIS第１水準,N１,,,中学校一～三年生,然り,４級,13,力 ちから
巻,JIS第１水準,N２,,,小学校六年生,然り,５級,9,卩 㔾 ふしづくり・わりふ
喚,JIS第１水準,N１,,,中学校一～三年生,然り,３級,12,口 くち・くちへん
堪,JIS第１水準,N１,,,中学校一～三年生,然り,準２級,12,土 つち・つちへん・どへん
完,JIS第１水準,N３,,,小学校四年生,然り,７級,7,宀 うかんむり
官,JIS第１水準,N３,,,小学校四年生,然り,７級,8,宀 うかんむり
寛,JIS第１水準,N１,,,中学校一～三年生,然り,準２級,13,宀 うかんむり
干,JIS第１水準,N２,,,小学校六年生,然り,５級,3,干 かん・いちじゅう・ほす
幹,JIS第１水準,N１,,,小学校五年生,然り,６級,13,干 かん・いちじゅう・ほす
患,JIS第１水準,N２,,,中学校一～三年生,然り,準２級,11,心 忄 こころ・したごころ・りっしんべん
感,JIS第１水準,N３,,,小学校三年生,然り,８級,13,心 忄 こころ・したごころ・りっしんべん
慣,JIS第１水準,N３,,,小学校五年生,然り,６級,14,心 忄 こころ・したごころ・りっしんべん
憾,JIS第１水準,N１,,,中学校一～三年生,然り,準２級,16,心 忄 こころ・したごころ・りっしんべん
換,JIS第１水準,N２,,,中学校一～三年生,然り,３級,12,手 扌 て・てへん
敢,JIS第１水準,N１,,,中学校一～三年生,然り,３級,12,攴 攵 ぼくにょう・ぼくづくり・とまた・のぶん
棺,JIS第１水準,N１,,,中学校一～三年生,然り,準２級,12,木 き・きへん
款,JIS第１水準,N１,,,中学校一～三年生,然り,準２級,12,欠 あくび・かける・けんづくり
歓,JIS第１水準,N１,,,中学校一～三年生,然り,４級,15,欠 あくび・かける・けんづくり
汗,JIS第１水準,N２,,,中学校一～三年生,然り,４級,6,水 氵 氺 みず・さんずい・したみず
漢,JIS第１水準,N４,,,小学校三年生,然り,８級,13,水 氵 氺 みず・さんずい・したみず
環,JIS第１水準,N１,,,中学校一～三年生,然り,４級,17,玉 王 たま・たまへん・おう・おうへん
甘,JIS第１水準,N２,,,中学校一～三年生,然り,４級,5,甘 あまい・かん
監,JIS第１水準,N１,,,中学校一～三年生,然り,４級,15,皿 さら
看,JIS第１水準,N１,,,小学校六年生,然り,５級,9,目 罒 め・めへん
管,JIS第１水準,N２,,,小学校四年生,然り,７級,14,竹 たけ・たけかんむり
簡,JIS第１水準,N２,,,小学校六年生,然り,５級,18,竹 たけ・たけかんむり
緩,JIS第１水準,N１,,,中学校一～三年生,然り,３級,15,糸 糹 纟 いと・いとへん
缶,JIS第１水準,N２,,,中学校一～三年生,然り,準２級,6,缶 ほとぎ・ほとぎへん
肝,JIS第１水準,N１,,,中学校一～三年生,然り,３級,7,肉 月 ⺼ にく・にくづき
艦,JIS第１水準,N１,,,中学校一～三年生,然り,準２級,21,舟 ふね・ふねへん
観,JIS第１水準,N３,,,小学校四年生,然り,７級,18,見 见 みる
貫,JIS第１水準,N１,,,中学校一～三年生,然り,３級,11,貝 贝 かい・かいへん・こがい
還,JIS第１水準,N１,,,中学校一～三年生,然り,準２級,16,辵 辶 しんにょう・しんにゅう
鑑,JIS第１水準,N１,,,中学校一～三年生,然り,４級,23,金 釒 钅 かね・かねへん
間,JIS第１水準,N５,,,小学校二年生,然り,９級,12,門 门 もん・もんがまえ・かどがまえ
閑,JIS第１水準,N１,,,中学校一～三年生,然り,準２級,12,門 门 もん・もんがまえ・かどがまえ
関,JIS第１水準,N３,,,小学校四年生,然り,７級,14,門 门 もん・もんがまえ・かどがまえ
陥,JIS第１水準,N１,,,中学校一～三年生,然り,準２級,10,阜 阝 こざと・こざとへん・おか
韓,JIS第１水準,,,,中学校一～三年生,然り,２級,18,韋 韦 なめしがわ
館,JIS第１水準,N４,,,小学校三年生,然り,８級,16,食 飠 饣 しょく・しょくへん
丸,JIS第１水準,N２,,,小学校二年生,然り,９級,3,丶 てん・ちょぼ
含,JIS第１水準,N２,,,中学校一～三年生,然り,４級,7,口 くち・くちへん
岸,JIS第１水準,N２,,,小学校三年生,然り,８級,8,山 やま・やまへん・やまかんむり
玩,JIS第１水準,,,,中学校一～三年生,然り,２級,8,玉 王 たま・たまへん・おう・おうへん
眼,JIS第１水準,N１,,,小学校五年生,然り,６級,11,目 罒 め・めへん
岩,JIS第１水準,N２,,,小学校二年生,然り,９級,8,山 やま・やまへん・やまかんむり
